Name,Trial,Variables,Cut dim,Interactions,Time (s),Proposed solution,Real sample min,Real sample 25,Real sample mean,Real sample 75,Real sample max
V32C2,0,32,2,512,4.6081,6.73332,-21.42392,6.32773,12.23323,17.89756,50.29465
V32C2,1,32,2,32,6.54454,2.54221,0.4108,6.21621,10.4589,14.70108,25.59126
V32C2,1,32,2,128,5.73764,2.30627,-1.2693,5.66612,7.52144,9.2802,18.45477
V32C2,1,32,2,512,4.11703,-42.00978,-86.76534,-24.03099,-15.73123,-6.18495,23.49971
V32C2,2,32,2,32,5.51407,1.63557,1.28943,7.25111,11.10481,14.95232,25.72361
V32C2,2,32,2,128,4.56878,4.4979,-6.71172,2.3977,4.57629,6.71155,16.28107
V32C2,2,32,2,512,4.73218,8.4236,-22.58479,2.50424,7.77863,12.85908,43.27773
V32C2,3,32,2,32,6.62335,1.75306,1.2758,7.42222,12.14399,16.84936,28.44011
V32C2,3,32,2,128,6.28648,10.52249,-0.88016,6.54557,8.94216,11.11821,23.22897
V32C2,3,32,2,512,4.66096,-2.09864,-24.35018,3.99745,10.15609,16.02412,50.67736
V32C2,4,32,2,32,5.80239,3.45773,1.33556,7.90671,11.95277,15.99241,27.91621
V32C2,4,32,2,128,5.79414,1.40852,-2.36516,4.63173,6.58538,8.40482,18.36554
V32C2,4,32,2,512,4.42947,7.08782,-23.73929,8.99375,16.45142,23.64716,67.21473
V32C4,0,32,4,32,4.12501,5.09164,0.98158,6.6409,10.87104,15.08025,26.21714
V32C4,0,32,4,128,4.63701,1.61623,-6.13762,2.37164,4.08759,5.7321,14.70228
V32C4,0,32,4,512,4.20523,-5.38554,-18.89456,7.335,14.59045,21.26528,61.74921
V32C4,1,32,4,32,4.63137,3.89497,1.0183,6.86979,11.60294,16.29948,28.13878
V32C4,1,32,4,128,2.86726,6.37283,-2.436,4.65027,6.58674,8.37022,17.08549
V32C4,1,32,4,512,8.36789,-3.05332,-19.77159,7.78307,13.61152,19.15829,51.58494
V32C4,2,32,4,32,4.69267,4.17818,0.89403,6.73474,11.05525,15.36704,27.00942
V32C4,2,32,4,128,4.29712,1.23927,-4.71837,2.01854,3.93715,5.71003,15.71987
V32C4,2,32,4,512,3.38334,-6.6019,-33.30758,0.89812,6.90806,12.82764,44.69727
V32C4,3,32,4,32,4.63805,1.8519,1.28594,7.21349,10.96866,14.71708,25.31208
V32C4,3,32,4,128,2.80646,-0.48234,-5.04384,2.72497,5.06061,7.31975,17.81425
V32C4,3,32,4,512,3.18894,-43.29372,-80.84098,-23.46276,-16.01401,-7.59139,21.1523
V32C4,4,32,4,32,4.68445,5.01796,0.38965,6.38498,10.46343,14.53625,24.97882
V32C4,4,32,4,128,3.13353,-2.89579,-11.84305,0.65402,2.58759,4.65396,13.35487
V32C4,4,32,4,512,3.504,-9.0008,-49.43285,-5.96322,1.54181,9.2228,47.73185
V32C8,0,32,8,32,1.38428,0.54936,1.53225,7.75037,12.36921,16.99011,28.80676
V32C8,0,32,8,128,1.46493,3.79232,-1.66819,5.23948,7.02395,8.71188,18.02586
V32C8,0,32,8,512,2.61522,-13.37359,-46.02717,-4.18151,2.52806,9.63891,41.00174
V32C8,1,32,8,32,1.75565,0.51295,1.71999,9.01676,12.78377,16.51126,29.1107
V32C8,1,32,8,128,2.11875,-0.3769,-4.153,3.99719,5.50524,7.02257,14.32643
V32C8,1,32,8,512,2.49525,19.05972,-25.10015,9.37787,17.77985,25.45271,79.92595
V32C8,2,32,8,32,2.49693,0.56117,1.69231,8.15749,11.71559,15.25574,27.61362
V32C8,2,32,8,128,1.41295,2.11708,-3.37802,3.54212,6.19778,8.56919,19.5592
V32C8,2,32,8,512,2.47272,-11.77194,-36.60483,-2.19638,3.3392,9.35465,36.97084
V32C8,3,32,8,32,1.83099,0.59064,2.2489,8.24542,12.632,17.00835,29.72196
V32C8,3,32,8,128,1.51325,-0.49373,-6.60105,2.0851,4.14408,6.26487,14.88365
V32C8,3,32,8,512,2.37059,-12.13709,-42.41163,-1.40726,6.53952,14.45635,56.06066
V32C8,4,32,8,32,1.22432,0.39618,1.27574,8.07445,12.41595,16.76873,29.64643
V32C8,4,32,8,128,1.53021,1.25969,-1.40844,5.27411,7.13475,8.89133,17.13313
V32C8,4,32,8,512,2.34677,10.0658,-14.7096,9.1845,15.47708,21.17769,55.41411
V32C16,0,32,16,32,1.19087,-0.4712,1.37155,8.30012,12.27599,16.23674,28.07846
V32C16,0,32,16,128,1.57156,-3.95475,-7.20845,1.92748,4.03665,6.1086,15.56015
V32C16,0,32,16,512,3.37939,-13.25257,-27.46669,2.68794,9.0023,14.97463,52.98136
V32C16,1,32,16,32,1.00404,1.65352,1.57253,7.26795,11.5865,15.87632,27.21615
V32C16,1,32,16,128,1.43648,-0.16835,-1.24361,5.66514,7.7356,9.58159,20.34207
V32C16,1,32,16,512,3.45925,-16.40777,-50.81013,-6.62797,1.27844,9.45477,53.43012
V32C16,2,32,16,32,0.83619,0.65208,1.39152,9.08828,13.78855,18.45631,32.71437
V32C16,2,32,16,128,1.50141,4.35468,-3.3609,4.3012,7.17455,9.76158,22.96797
V32C16,2,32,16,512,3.80751,-18.58442,-21.13184,6.24715,12.96872,19.36127,54.23849
V32C16,3,32,16,32,0.7379,1.14633,1.90032,8.24058,13.04422,17.84963,30.97331
V32C16,3,32,16,128,1.89854,0.93466,-2.5645,4.67599,6.45756,8.06472,17.75128
V32C16,3,32,16,512,3.45859,-28.84129,-35.67897,5.21454,12.44188,19.47962,61.6577
V32C16,4,32,16,32,0.78687,1.41693,0.6504,6.45755,10.54641,14.62406,26.15455
V32C16,4,32,16,128,1.52687,-0.30925,-1.56783,5.16354,7.48091,9.59959,21.70572
V32C16,4,32,16,512,3.37705,-1.51996,-8.90735,16.03008,23.34335,29.85523,75.64055
V32C32,0,32,32,32,0.47785,0.0,1.28194,7.59624,11.84748,16.08235,28.206
V32C32,0,32,32,128,0.9787,-4.19361,-2.28953,5.89457,8.31969,10.47629,23.6566
V32C32,0,32,32,512,3.55427,-51.5159,-44.74238,-2.70016,4.56326,11.68873,54.05287
V32C32,1,32,32,32,0.47888,-0.66091,1.06127,7.08064,10.44311,13.77369,24.10644
V32C32,1,32,32,128,0.80235,-4.36819,-3.14722,3.97629,6.57972,9.01548,19.95047
V32C32,1,32,32,512,3.49238,-83.5242,-63.89112,-13.44958,-5.86179,2.49616,34.85768
V32C32,2,32,32,32,0.46651,0.0,1.30977,7.95753,12.16543,16.37265,27.98691
V32C32,2,32,32,128,0.89284,-4.95163,-3.14071,3.43798,5.44738,7.30433,16.93096
V32C32,2,32,32,512,3.15003,-46.36165,-33.07164,-3.99557,1.59348,7.43816,33.14135
V32C32,3,32,32,32,0.47601,-0.0495,1.54919,7.98247,12.59593,17.20934,29.72344
V32C32,3,32,32,128,1.0826,-3.29594,-1.93231,4.22297,6.30846,8.29647,17.92449
V32C32,3,32,32,512,2.98321,-23.22384,-19.1902,6.87742,13.27907,19.1969,61.42287
V32C32,4,32,32,32,0.47523,-0.0523,1.34684,8.01865,12.26663,16.50028,28.82975
V32C32,4,32,32,128,1.1404,-8.84901,-7.98826,1.14166,3.17386,5.07458,14.89235
V32C32,4,32,32,512,3.40953,-20.41114,-15.05355,11.40753,18.79767,25.5044,68.4502
V64C2,0,64,2,64,24.81392,5.68215,5.97768,14.15697,21.00621,27.87285,43.99313
V64C2,0,64,2,256,20.94839,3.56714,-3.57454,5.37132,7.76384,9.96632,22.71267
V64C2,0,64,2,1024,18.17682,-1.03702,-7.69091,11.16151,16.9817,22.21417,51.71593
V64C2,0,64,2,4096,19.63396,17.60384,-60.43049,19.30615,34.88957,49.57876,143.45049
V64C2,1,64,2,64,24.33033,18.0522,7.76325,16.91066,24.81939,32.74683,50.89664
V64C2,1,64,2,256,25.56399,0.19571,-4.94477,6.45957,9.58925,12.56233,28.11166
V64C2,1,64,2,1024,18.30111,-4.68572,-16.20136,8.39547,14.58143,20.21717,56.50328
V64C2,1,64,2,4096,17.7955,34.54014,-156.1684,-18.76863,5.14284,29.13789,171.98756
V64C2,2,64,2,64,24.24191,8.63044,5.75106,15.16817,23.0511,30.92559,49.5323
V64C2,2,64,2,256,19.23897,8.20201,-3.22469,6.70611,10.38154,13.73745,29.05077
V64C2,2,64,2,1024,17.01715,4.21943,-32.60568,0.11524,5.35973,10.9173,35.246
V64C2,2,64,2,4096,19.93401,-9.84461,-129.77734,-16.81138,2.68706,22.8704,129.75308
V64C2,3,64,2,64,23.17152,8.57347,5.23529,14.96934,22.77298,30.60487,46.2628
V64C2,3,64,2,256,24.24293,0.7574,-13.48066,2.60438,6.69344,10.59004,30.40008
V64C2,3,64,2,1024,18.33122,4.71535,-16.998,9.93101,15.61249,21.01578,55.01104
V64C2,3,64,2,4096,20.03454,28.17705,-110.11999,-3.38434,16.39005,35.86041,179.19213
V64C2,4,64,2,64,24.9101,6.90007,6.07394,16.04188,24.40766,32.74207,49.89346
V64C2,4,64,2,256,23.34418,4.51599,0.44537,9.83244,12.14674,14.29491,27.19274
V64C2,4,64,2,1024,23.62417,-0.612,-12.75582,10.54405,16.95384,22.91577,56.15586
V64C2,4,64,2,4096,20.3506,-20.33208,-109.5751,-13.05412,1.74947,16.98047,99.93625
V64C4,0,64,4,64,18.82406,7.11071,8.63677,17.57271,26.29441,34.99651,55.2448
V64C4,0,64,4,256,30.43828,-0.00622,-4.87511,5.27319,7.16013,9.03732,18.8906
V64C4,0,64,4,1024,13.9769,-23.49078,-67.81251,-16.93107,-10.59128,-3.0098,20.82752
V64C4,0,64,4,4096,14.53595,-89.20508,-229.09013,-55.44696,-32.70787,-8.23302,92.20584
V64C4,1,64,4,64,21.66858,9.05482,7.05818,16.20836,24.10621,32.00196,51.68892
V64C4,1,64,4,256,14.50767,5.18664,-9.44364,2.97814,5.64411,8.40259,19.85403
V64C4,1,64,4,1024,16.62889,-0.23961,-11.19657,9.61669,15.19921,20.39391,51.9947
V64C4,1,64,4,4096,19.14704,-18.60595,-103.05706,1.67201,20.0756,38.64045,145.90923
V64C4,2,64,4,64,31.84106,10.1004,6.72694,15.47902,24.29512,33.10388,51.21894
V64C4,2,64,4,256,22.88833,3.01559,-9.88463,4.45309,7.9877,11.51664,26.52421
